RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       132864     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.901D-02  5.164D+06
    1    6     1     0  ---    4  3.9D+02  3.4D+02  1.543D-02  5.138D+06
    2    7     0     0  con    0  1.0D+00  1.8D+03  7.367D-03  5.069D+06
    3    8     0     0  con    0  1.0D+00  1.8D+03  6.221D-03  5.024D+06
    4    9     0     0  con    0  1.0D+00  4.1D+03  5.902D-03  4.974D+06
    5   10     0     0  con    0  1.0D+00  3.4D+03  9.795D-02  4.957D+06
    6   11     0     0  con    0  1.0D+00  1.2D+03  7.019D-03  4.944D+06
    7   12     0     0  con    0  1.0D+00  7.0D+02  5.974D-03  4.942D+06
    8   13     0     0  con    0  1.0D+00  1.4D+03  3.384D-03  4.929D+06
    9   17     0     0  con    3  1.7D-03  4.5D+00  3.376D-03  4.929D+06
   10   21     0     0  con    3  5.8D-04  2.8D+00  3.372D-03  4.929D+06
   11   28     0     0  con    6  9.4D-04  6.5D+00  3.362D-03  4.929D+06
   12   32     0     0  con    3  6.1D-04  2.8D+00  3.389D-03  4.929D+06
   13   36     0     0  con    3  6.0D-04  3.7D+00  3.397D-03  4.929D+06
   14   40     0     0  con    3  5.1D-04  3.2D+00  3.400D-03  4.929D+06
   15   44     0     0  con    3  5.6D-04  2.6D+00  3.397D-03  4.929D+06
   16   48     0     0  con    3  5.6D-04  2.6D+00  3.405D-03  4.929D+06
   17   55     0     0  con    6  1.2D-03  6.6D+00  3.421D-03  4.929D+06
   18   59     0     0  con    3  6.0D-04  4.5D+00  3.428D-03  4.929D+06
   19   66     0     0  con    6  1.7D-03  2.4D+01  3.384D-03  4.928D+06
   20   73     0     0  con    6  9.6D-04  6.2D+00  3.359D-03  4.928D+06
   21   77     0     0  con    3  5.7D-04  4.2D+00  3.355D-03  4.928D+06
   22   84     0     0  con    6  1.0D-03  6.2D+00  3.376D-03  4.928D+06
   23   88     0     0  con    3  1.2D-03  1.5D+01  3.422D-03  4.928D+06
   24   92     0     0  con    3  5.4D-04  3.6D+00  3.435D-03  4.928D+06
   25   96     0     0  con    3  5.7D-04  4.4D+00  3.457D-03  4.928D+06
   26  100     0     0  con    3  5.3D-04  3.5D+00  3.450D-03  4.928D+06
   27  104     0     0  con    3  7.4D-04  2.6D+00  3.452D-03  4.928D+06
   28  108     0     0  con    3  5.4D-04  4.0D+00  3.460D-03  4.928D+06
   29  112     0     0  con    3  5.2D-04  2.7D+00  3.451D-03  4.928D+06
   30  119     0     0  con    6  8.9D-04  6.3D+00  3.477D-03  4.928D+06
   31  123     0     0  con    3  5.4D-04  4.0D+00  3.485D-03  4.928D+06
   32  127     0     0  con    3  5.0D-04  3.0D+00  3.495D-03  4.928D+06
   33  131     0     0  con    3  5.1D-04  2.6D+00  3.500D-03  4.928D+06
   34  135     0     0  con    3  7.3D-04  2.5D+00  3.467D-03  4.928D+06
   35  139     0     0  con    3  5.7D-04  2.5D+00  3.455D-03  4.928D+06
   36  143     0     0  con    3  5.2D-04  2.7D+00  3.462D-03  4.928D+06
   37  147     0     0  con    3  5.3D-04  2.6D+00  3.459D-03  4.928D+06
   38  151     0     0  con    3  5.3D-04  2.6D+00  3.461D-03  4.927D+06
   39  155     0     0  con    3  5.4D-04  3.7D+00  3.504D-03  4.927D+06
   40  174     0     0  con   18  1.1D-03  1.3D+02  3.502D-03  4.926D+06
   41  178     0     0  con    3  4.6D-04  3.1D+00  3.504D-03  4.926D+06
   42  185     0     0  con    6  1.2D-03  1.4D+01  3.406D-03  4.926D+06
   43  189     0     0  con    3  6.5D-04  6.3D+00  3.394D-03  4.926D+06
   44  193     0     0  con    3  4.4D-04  2.3D+00  3.354D-03  4.926D+06
   45  197     0     0  con    3  1.0D-03  1.2D+01  3.357D-03  4.925D+06
   46  201     0     0  con    3  4.5D-04  3.1D+00  3.348D-03  4.925D+06
   47  205     0     0  con    3  7.3D-04  7.7D+00  3.357D-03  4.925D+06
   48  209     0     0  con    3  4.3D-04  2.4D+00  3.348D-03  4.925D+06
   49  213     0     0  con    3  6.4D-04  6.2D+00  3.358D-03  4.925D+06
   50  217     0     0  con    3  4.3D-04  2.6D+00  3.363D-03  4.925D+06
   51  221     0     0  con    3  4.8D-04  3.8D+00  3.368D-03  4.925D+06
   52  225     0     0  con    3  5.9D-04  2.0D+00  3.404D-03  4.925D+06
   53  229     0     0  con    3  8.8D-04  1.0D+01  3.370D-03  4.925D+06
   54  233     0     0  con    3  5.1D-04  4.1D+00  3.376D-03  4.925D+06
   55  237     0     0  con    3  4.4D-04  2.2D+00  3.385D-03  4.925D+06
   56  244     0     0  con    6  1.2D-03  1.4D+01  3.366D-03  4.925D+06
   57  248     0     0  con    3  5.0D-04  3.9D+00  3.366D-03  4.925D+06
   58  258     0     0  con    9  1.1D-03  1.1D+01  3.419D-03  4.924D+06
   59  262     0     0  con    3  4.6D-04  3.3D+00  3.454D-03  4.924D+06
   60  266     0     0  con    3  4.3D-04  2.7D+00  3.461D-03  4.924D+06
   61  270     0     0  con    3  5.7D-04  1.9D+00  3.432D-03  4.924D+06
